id,product_id,warehouse_id,quantity_on_hand,reorder_level,reorder_quantity,updated_at
99a2b4ab-68e4-4c98-a4ce-06098cfb10a8,0a68f0c4-0046-4bd7-9c1f-c4d3bae18657,8618a91b-2b38-4faa-b40d-0308363b2a61,215,26,130,2025-01-01T00:00:00
71885324-d51b-4888-9357-7406e2869ea4,0a68f0c4-0046-4bd7-9c1f-c4d3bae18657,78d504a3-39b4-4991-b1b7-9557d3428ff2,473,17,34,2025-01-01T00:00:00
5e61dc99-fb4a-4506-9894-c37043ac8892,40dc5713-9c2f-4c64-bbcf-1239b8daddf2,8618a91b-2b38-4faa-b40d-0308363b2a61,172,48,144,2025-01-01T00:00:00
4ff866ea-b223-4edf-949a-804f74d0dc35,6cab6d05-199b-4733-801f-a41bf2896231,78d504a3-39b4-4991-b1b7-9557d3428ff2,310,42,210,2025-01-01T00:00:00
e64278a1-4db2-46af-9ab9-6610fa7b463f,6cab6d05-199b-4733-801f-a41bf2896231,574f8e49-624f-4c82-81a6-66739af2fa27,108,27,54,2025-01-01T00:00:00
119397d1-e0a4-4c4e-9da5-bacf312e5838,3733a235-b260-45f7-8a10-d6d44934cd5f,8618a91b-2b38-4faa-b40d-0308363b2a61,287,45,225,2025-01-01T00:00:00
2a2a4800-c8a7-46d9-bceb-8ad74fb09314,3733a235-b260-45f7-8a10-d6d44934cd5f,574f8e49-624f-4c82-81a6-66739af2fa27,83,40,80,2025-01-01T00:00:00
5a16d176-bb7e-40bd-9e1c-9929f7d4024d,93726e07-a1a3-453e-a4ef-1200f61b4344,be0b4543-3c61-4879-b9e6-3a01fb650515,374,24,48,2025-01-01T00:00:00
336891f6-32ca-4905-b8a7-dbee81a08af0,93726e07-a1a3-453e-a4ef-1200f61b4344,8618a91b-2b38-4faa-b40d-0308363b2a61,187,45,90,2025-01-01T00:00:00
a79672f9-9856-4670-85f9-041522fe451f,167fb0c2-f440-4584-b3b3-e42fb4d5fbc2,574f8e49-624f-4c82-81a6-66739af2fa27,440,45,135,2025-01-01T00:00:00
90071b5b-83f7-4849-be1a-2b32e5c2f237,c22051fb-624e-4485-ab9d-c543f257b80e,78d504a3-39b4-4991-b1b7-9557d3428ff2,340,36,180,2025-01-01T00:00:00
1e8bb54a-6317-4b8b-8173-27cc29fce2db,c22051fb-624e-4485-ab9d-c543f257b80e,be0b4543-3c61-4879-b9e6-3a01fb650515,92,50,150,2025-01-01T00:00:00
a01861f8-21d6-4268-98fd-9bb869dafe72,3ccf62ed-4118-4f50-a69b-a839d02609f4,574f8e49-624f-4c82-81a6-66739af2fa27,241,44,132,2025-01-01T00:00:00
0b86cea1-ea70-4b3f-825f-19a50d00714f,aeafadbc-61a0-4dcb-bfac-8056a9cb79ff,78d504a3-39b4-4991-b1b7-9557d3428ff2,325,37,185,2025-01-01T00:00:00
79fffcba-1bac-44b6-97be-d12b0ba77b3f,2606eebf-6b75-4fc3-89b1-7f7728fa7dce,574f8e49-624f-4c82-81a6-66739af2fa27,50,39,156,2025-01-01T00:00:00
af6686ab-6a5e-4f1d-9700-8d1f5ff7fa1e,38b11d32-c043-40ef-b693-ab2a60ae5318,8618a91b-2b38-4faa-b40d-0308363b2a61,135,10,20,2025-01-01T00:00:00
00d7a25a-d033-4336-86d8-c847e04a94c1,38b11d32-c043-40ef-b693-ab2a60ae5318,be0b4543-3c61-4879-b9e6-3a01fb650515,296,27,108,2025-01-01T00:00:00
7b5399a8-59b3-40ba-b679-8ffc6d1438a8,38b11d32-c043-40ef-b693-ab2a60ae5318,78d504a3-39b4-4991-b1b7-9557d3428ff2,479,34,136,2025-01-01T00:00:00
6ed0b3ea-7bd5-49aa-a2f0-d1b3c88a9ced,46f75803-1997-463e-a25a-5b9d15009687,8618a91b-2b38-4faa-b40d-0308363b2a61,158,47,188,2025-01-01T00:00:00
4dd7ef00-198c-4e4c-bea9-7f7c91a60465,46f75803-1997-463e-a25a-5b9d15009687,574f8e49-624f-4c82-81a6-66739af2fa27,73,20,40,2025-01-01T00:00:00
81f8a5e6-750e-4d3c-8240-b467e0000b1f,46f75803-1997-463e-a25a-5b9d15009687,78d504a3-39b4-4991-b1b7-9557d3428ff2,203,15,75,2025-01-01T00:00:00
1ef11307-f856-450a-933d-5a1dfc27a42a,f98ee275-ada0-4dcc-950f-4a26864725bc,574f8e49-624f-4c82-81a6-66739af2fa27,112,18,72,2025-01-01T00:00:00
db5d7508-39c3-4b54-b350-10a668212340,f98ee275-ada0-4dcc-950f-4a26864725bc,78d504a3-39b4-4991-b1b7-9557d3428ff2,499,37,111,2025-01-01T00:00:00
72b6869b-5979-46db-923d-97b28cec4e53,f98ee275-ada0-4dcc-950f-4a26864725bc,be0b4543-3c61-4879-b9e6-3a01fb650515,362,42,168,2025-01-01T00:00:00
986294a2-c6fd-4b79-a95c-37269bc1952e,9f167431-4fc2-4c8d-b06b-e39ea235151f,574f8e49-624f-4c82-81a6-66739af2fa27,225,50,200,2025-01-01T00:00:00
eec13436-7868-45a9-b789-be96ba296549,9f167431-4fc2-4c8d-b06b-e39ea235151f,78d504a3-39b4-4991-b1b7-9557d3428ff2,435,38,152,2025-01-01T00:00:00
0c5dbd59-443d-4b7e-92a7-2c379c7f7dad,9f167431-4fc2-4c8d-b06b-e39ea235151f,be0b4543-3c61-4879-b9e6-3a01fb650515,175,30,120,2025-01-01T00:00:00
