id,company_id,branch_id,user_id,category,description,amount,expense_date,status,created_at
21c9ba02-4850-4fab-a229-e531411d1586,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,5a96b78c-2c6b-4aaa-88b5-7c7485705113,Rent,Monthly office rent - January 2022,137240.97,2022-01-01,approved,2022-01-01T16:40:06
491f30c6-0cab-4970-9dc6-8a12540ea10b,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,7760d86e-b342-473c-8c64-b55d64aa491a,Salaries,Staff salaries - January 2022,281546.48,2022-01-28,approved,2022-01-28T14:15:44
9b31f29d-3732-471b-9d38-2ee9a0e95f6c,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,163b0e08-1801-4ae5-af8c-f287fbcdff7c,Utilities,Electricity and water - January 2022,19467.35,2022-01-15,approved,2022-01-15T15:42:37
7d295089-daea-4d82-b600-5076d75fa1e7,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,ea13a2c7-2a88-40f3-b073-4e507c524f18,Rent,Monthly office rent - January 2022,149688.98,2022-01-01,approved,2022-01-01T12:45:13
a38ba346-0773-4b0c-8fff-05ad3c293986,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,f577e0e3-284e-4c71-8d16-74f51d0fe305,Salaries,Staff salaries - January 2022,345086.45,2022-01-28,approved,2022-01-28T15:03:10
09c60469-091f-469f-b51f-ff6ca4adad70,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,ea13a2c7-2a88-40f3-b073-4e507c524f18,Utilities,Electricity and water - January 2022,16880.7,2022-01-15,approved,2022-01-15T10:22:21
e58de5cc-2ba9-45fd-ac9a-e1b535919dfe,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,163b0e08-1801-4ae5-af8c-f287fbcdff7c,Rent,Monthly office rent - January 2022,156920.39,2022-01-01,approved,2022-01-01T09:05:46
296d9f05-021b-4fce-b31d-64a1299f0399,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,ea13a2c7-2a88-40f3-b073-4e507c524f18,Salaries,Staff salaries - January 2022,737800.37,2022-01-28,approved,2022-01-28T17:46:43
03869ff6-d1e6-491e-9fe4-e914b732b5c5,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,9a16d7d2-dc18-4141-a14f-3394de4b98bc,Utilities,Electricity and water - January 2022,9031.88,2022-01-15,approved,2022-01-15T16:59:46
cd99ae0f-be28-4e14-9d94-f32311934601,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,eaefa70d-63c2-4537-b86d-2205b826bb2e,Rent,Monthly office rent - February 2022,100497.47,2022-02-01,approved,2022-02-01T18:07:34
b800fe20-1b67-4666-a6d5-eebee5d8b01c,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,eaefa70d-63c2-4537-b86d-2205b826bb2e,Salaries,Staff salaries - February 2022,758036.94,2022-02-28,approved,2022-02-28T18:22:29
ec0570f7-2638-4494-83ba-6e3f54a20589,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,Utilities,Electricity and water - February 2022,5634.64,2022-02-15,approved,2022-02-15T08:36:01
e9f222c0-c999-47e6-af2f-be322a47a039,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,Rent,Monthly office rent - February 2022,83432.37,2022-02-01,approved,2022-02-01T16:08:41
b6a6e695-66be-492c-8923-9563a9673be2,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,4736f247-39f8-400c-b9ea-519dfbb485f6,Salaries,Staff salaries - February 2022,282985.65,2022-02-28,approved,2022-02-28T13:56:46
64fa2e8d-3f8a-4441-82c5-1918a0b220b5,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,5a96b78c-2c6b-4aaa-88b5-7c7485705113,Utilities,Electricity and water - February 2022,18361.71,2022-02-15,approved,2022-02-15T16:07:00
9b1fbe18-85a6-4c35-bef1-d43091d7943b,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,Rent,Monthly office rent - February 2022,179105.48,2022-02-01,approved,2022-02-01T09:42:59
ddf5f77a-ba84-4f8f-8699-8b0fc36c23d2,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,4736f247-39f8-400c-b9ea-519dfbb485f6,Salaries,Staff salaries - February 2022,714966.3,2022-02-28,approved,2022-02-28T17:03:19
c9250339-a5e2-41f4-97f0-0c87e3426ba5,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,aadd1a3f-3f20-499a-b950-51966ac9090c,Utilities,Electricity and water - February 2022,7016.81,2022-02-15,approved,2022-02-15T18:26:55
3991a727-b3c7-411f-9759-215468389275,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,5a96b78c-2c6b-4aaa-88b5-7c7485705113,Rent,Monthly office rent - March 2022,59655.77,2022-03-01,approved,2022-03-01T09:14:45
502e73e1-551f-485c-89a9-9812aaac92ab,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,7760d86e-b342-473c-8c64-b55d64aa491a,Salaries,Staff salaries - March 2022,263198.79,2022-03-28,approved,2022-03-28T12:23:51
a97b06d5-6962-4a97-85fc-731f3f603050,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,Utilities,Electricity and water - March 2022,21610.99,2022-03-15,approved,2022-03-15T13:09:47
b56fa428-3c19-47ee-931d-970e3aee78da,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,Rent,Monthly office rent - March 2022,158373.87,2022-03-01,approved,2022-03-01T14:37:40
dd53d9de-24c5-4e86-83a0-7c0f9b3d1876,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,7760d86e-b342-473c-8c64-b55d64aa491a,Salaries,Staff salaries - March 2022,347623.91,2022-03-28,approved,2022-03-28T18:40:36
48e55639-0303-47ab-812c-0f92a4b32573,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,eaefa70d-63c2-4537-b86d-2205b826bb2e,Utilities,Electricity and water - March 2022,16022.59,2022-03-15,approved,2022-03-15T16:05:02
46e49c71-e8f4-460a-b9ff-5a13b8420e44,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,Rent,Monthly office rent - March 2022,117002.45,2022-03-01,approved,2022-03-01T13:45:39
634dfaf2-3b95-46d8-acb5-de1315841a28,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,3f0519f3-383c-48a1-8609-f4b51fd5ecd4,Salaries,Staff salaries - March 2022,608842.11,2022-03-28,approved,2022-03-28T13:11:05
28f7553f-db43-4a72-a197-58a779769114,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,ea13a2c7-2a88-40f3-b073-4e507c524f18,Utilities,Electricity and water - March 2022,17176.22,2022-03-15,approved,2022-03-15T11:51:37
a1c1505a-478e-408c-8d1f-a75401185d9a,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,ea13a2c7-2a88-40f3-b073-4e507c524f18,Rent,Monthly office rent - April 2022,193489.99,2022-04-01,approved,2022-04-01T13:44:48
121eec76-3447-4117-8ab7-b573a6c6be41,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,aadd1a3f-3f20-499a-b950-51966ac9090c,Salaries,Staff salaries - April 2022,521351.97,2022-04-28,approved,2022-04-28T15:39:40
1ab725a7-3fd9-4e06-bff8-c9cc820fdaa0,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,f17772cf-7a8e-4e04-aeef-8c148fe1a7e5,Utilities,Electricity and water - April 2022,14507.49,2022-04-15,approved,2022-04-15T09:28:59
db3fc1f7-bd23-4110-8efb-d4d30303d925,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,9a16d7d2-dc18-4141-a14f-3394de4b98bc,Rent,Monthly office rent - April 2022,170104.65,2022-04-01,approved,2022-04-01T14:02:53
7f63649f-a106-475d-9135-60e57e70f318,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,f0e9f4da-9ca0-492d-a21e-3f8a819f9184,Salaries,Staff salaries - April 2022,408809.86,2022-04-28,approved,2022-04-28T09:12:46
a667d2f4-a55d-44bf-bf76-72335ec30f7f,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,aadd1a3f-3f20-499a-b950-51966ac9090c,Utilities,Electricity and water - April 2022,7672.6,2022-04-15,approved,2022-04-15T13:04:29
024a1308-e484-4351-8734-f6a9aecefa09,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,4736f247-39f8-400c-b9ea-519dfbb485f6,Rent,Monthly office rent - April 2022,122812.65,2022-04-01,approved,2022-04-01T16:31:22
67bcf0f0-0c31-49b5-ba1d-d0c0060ae332,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,4736f247-39f8-400c-b9ea-519dfbb485f6,Salaries,Staff salaries - April 2022,390496.52,2022-04-28,approved,2022-04-28T18:43:08
a7746bc2-eb7c-47c8-b76e-08fd76e60b85,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,f17772cf-7a8e-4e04-aeef-8c148fe1a7e5,Utilities,Electricity and water - April 2022,11313.12,2022-04-15,approved,2022-04-15T18:49:10
294e9d76-a3ba-4b42-9bbd-b8565449b831,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,f577e0e3-284e-4c71-8d16-74f51d0fe305,Rent,Monthly office rent - May 2022,105902.49,2022-05-01,approved,2022-05-01T15:26:09
