id,purchase_id,product_id,quantity,unit_cost,line_total
5ccc08bb-bed8-4fb0-afc5-cf361615eed3,9b1ea26a-98b3-4f67-802a-835f78b8c8b4,fb654114-710b-45c3-9322-8b948ee9d85d,85,233.41,19839.85
61cc3326-6b93-4d0f-b0a4-25548711318b,9b1ea26a-98b3-4f67-802a-835f78b8c8b4,3a2ae3dd-16b8-4ac4-953c-672fec23106f,70,324.5,22715.0
13107397-7745-44b3-b2e3-b043fcf0c039,9b1ea26a-98b3-4f67-802a-835f78b8c8b4,5c804b54-c729-49e7-9560-e9ca2767949a,26,313.2,8143.2
233d82c8-8c1d-415d-8f1c-ac342bfe1a3b,9b1ea26a-98b3-4f67-802a-835f78b8c8b4,4cce66f4-260a-4a5a-a375-324edf79cf75,29,83.13,2410.77
e3be16e9-6dab-4851-b853-7974e1f80668,9b1ea26a-98b3-4f67-802a-835f78b8c8b4,a65cbc0c-df3f-433a-a37f-a44650deedaf,41,2042.36,83736.76
c5a02c92-9e83-4a38-8eee-a6e276d44b34,397d7f3a-35ff-49b4-8644-691259002730,6f638e12-4a21-461f-9f90-a69409c37bb2,76,3922.3,298094.8
1692d805-e5d0-472c-bc27-5b7beef2d4da,397d7f3a-35ff-49b4-8644-691259002730,a2b9d406-2a48-49a3-9a4d-fd0154fb93f0,21,2050.13,43052.73
bdce010a-4219-465d-a000-e4b86d5a9366,a2afefd0-7993-4e79-86e8-87c98b5f5279,901933a7-9c8b-4c91-90a7-9d99e2ecb51e,18,668.18,12027.24
b4f53a87-5745-4835-b115-f003bda33cd6,87d57885-a9c9-4b00-a5e6-d3a872df93ac,c43f017f-7168-44b9-a220-61235d3e7fc6,9,110.83,997.47
9bdf5f14-6878-40c8-a999-7ce7c4f79501,87d57885-a9c9-4b00-a5e6-d3a872df93ac,ca8a5f29-d81b-4644-84cd-5891e212a59b,47,490.98,23076.06
0e4b8f1d-ea60-465c-9edc-76242363a179,87d57885-a9c9-4b00-a5e6-d3a872df93ac,4d482624-14a0-462d-a1a3-d37eef1c23f1,63,696.09,43853.67
ae08e0ce-8d52-4bf9-b96d-aadf94942bd9,87d57885-a9c9-4b00-a5e6-d3a872df93ac,9a9249df-4eaf-416a-b512-8b1b80578f21,5,17.82,89.1
