id,company_id,branch_id,supplier_id,user_id,purchase_date,status,total_amount,tax_amount,net_amount,payment_status,created_at
9b1ea26a-98b3-4f67-802a-835f78b8c8b4,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,399195ea-6f83-4bd1-854c-0576868e3b5b,9dd0c56d-a9cf-4c8d-a998-9df89eb48a85,2024-08-04,received,136845.58,6842.28,143687.86,paid,2024-08-04T10:12:53
397d7f3a-35ff-49b4-8644-691259002730,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,5892822b-93fa-4e9b-9b06-04ab7cae2b45,e213801b-a706-48c3-9ba4-7db14d3912f3,2022-06-29,received,341147.53,17057.38,358204.91,partial,2022-06-29T11:33:49
a2afefd0-7993-4e79-86e8-87c98b5f5279,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,915d3acf-eead-4094-96cc-2190b09bc5fb,517d046e-f5e7-4244-8dab-e8995b9bfdc4,2024-04-08,received,12027.24,601.36,12628.6,paid,2024-04-08T18:57:00
87d57885-a9c9-4b00-a5e6-d3a872df93ac,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,a6869331-1795-462a-be24-e6127ba25ce4,f17772cf-7a8e-4e04-aeef-8c148fe1a7e5,2022-08-29,received,68016.3,3400.82,71417.12,paid,2022-08-29T09:49:58
a68d58e5-886a-4d1a-b527-0b335a81857a,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,e4db980d-829c-4c9f-8e25-8b04ab8459dd,163b0e08-1801-4ae5-af8c-f287fbcdff7c,2023-09-12,received,30575.34,1528.77,32104.11,paid,2023-09-12T14:30:17
8ac31201-92ee-4ff3-a60f-f4e90709f0a6,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,7490c99c-54fd-4577-bf9f-ad2156c1e1c9,355d120a-98dd-4393-a62e-df5f4b8a455b,2023-03-14,received,62560.92,3128.05,65688.97,paid,2023-03-14T10:40:10
397abb75-c404-4231-83ba-207a6a4831ed,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,50379a95-cd15-4dab-a9db-6c5b86cdcdfc,f577e0e3-284e-4c71-8d16-74f51d0fe305,2024-05-15,received,49238.2,2461.91,51700.11,paid,2024-05-15T14:52:06
4c2f9047-acc7-4c2f-972e-0c1383c966f0,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,1c82d8ea-34eb-4ff8-bf9d-a85944d2c0a7,79c1732a-a6d1-4565-b515-c59de4dbdfe5,2023-04-15,pending,112882.56,5644.13,118526.69,unpaid,2023-04-15T10:29:22
136a5851-9b52-467e-8735-9e8881aa0e91,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,212cf991-45e9-4b5e-b07d-aa0303292cbb,eaefa70d-63c2-4537-b86d-2205b826bb2e,2024-04-13,received,50715.75,2535.79,53251.54,partial,2024-04-13T13:07:43
8138a68b-dc3f-453e-a13e-7904b0634f9f,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,ee80acdb-977a-4af3-a9bf-47fc4a9fbcab,74245d66-8df4-4678-b1e9-76d5e231caff,2023-07-31,received,102245.79,5112.29,107358.08,paid,2023-07-31T12:29:11
6c9e7bc4-8e09-43bd-b338-a63d6ad6650d,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,7490c99c-54fd-4577-bf9f-ad2156c1e1c9,8626b762-d8ef-4e32-8446-33cdac213522,2022-02-20,received,401994.16,20099.71,422093.87,paid,2022-02-20T08:16:42
ef6ebe10-b375-48ef-95e9-499857c9982a,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,3b91033a-58fc-4601-904a-62494351553a,517d046e-f5e7-4244-8dab-e8995b9bfdc4,2024-05-26,pending,4954.23,247.71,5201.94,unpaid,2024-05-26T17:26:13
